[2019_ 7_ 16_ 17_ 28_ 12],991_001003031084,10
[2019_ 7_ 16_ 17_ 30_ 9],991_001003031084,10
[2019_ 7_ 16_ 17_ 32_ 33],991_001003031084,10
[2019_ 7_ 16_ 17_ 38_ 12],991_001003031084,10
[2019_ 7_ 16_ 17_ 40_ 5],991_001003031084,10
[2019_ 7_ 16_ 17_ 42_ 28],991_001003031084,10
[2019_ 7_ 16_ 17_ 44_ 57],991_001003031084,10
[2019_ 7_ 16_ 17_ 47_ 11],991_001003031084,10
[2019_ 7_ 16_ 17_ 50_ 8],991_001003031084,10
[2019_ 7_ 16_ 17_ 52_ 19],991_001003031084,10
[2019_ 7_ 16_ 17_ 54_ 40],991_001003031084,10
[2019_ 7_ 16_ 17_ 56_ 57],991_001003031084,10
[2019_ 7_ 16_ 17_ 59_ 29],991_001003031084,10
[2019_ 7_ 16_ 18_ 1_ 56],991_001003031084,10
[2019_ 7_ 16_ 18_ 3_ 50],991_001003031084,10
[2019_ 7_ 16_ 18_ 6_ 45],991_001003031084,10
[2019_ 7_ 16_ 18_ 9_ 0],991_001003031084,10
[2019_ 7_ 16_ 18_ 21_ 44],991_001003031084,10
